,name,unit,error,file_name,true_unit
10,Приемники временной синхронизации NAVIOR-24S,,"Предел допускаемой средней квадратической погрешности формирования метки времени, времени, выдаваемой потребителям, по отношению к шкале времени, нс : - ПТС($ЕТ)	 - ПТС($ЕТ)	 - ИТС(US)	 50; 50. - ИТС(US)	 50.",2008-40005-08.pdf,
11,Динамометры измерительные СИУ2 СИУ2,"Наибольший предел измере- предел измере- ний (НПИ), кН кН","Пределы допускаемой относительной погрешности , °/о погрешности , °/о ± 0,06 ± 0,45",2008-40143-08.pdf,кН
12,"Калибраторы температуры серии МгсгоСа1 моделей МгсгоСа1 Т10, МгсгоСа1 моделей МгсгоСа1 Т10, МiсгоСа1 Т30, МгсгоСа1 Т350 МiсгоСа1 Т30, МгсгоСа1 Т350","Диапазон воспроизведения температу- ры, °С Пределы допускаемой погрешности °С Пределы","Пределы допускаемой погрешности воспроизведения температуры, °С 0,5 воспроизведения температуры, °С Дискретность показаний, °С",2008-40160-08.pdf,°С
13,"Фурье - спектрометры инфракрасные Varian (модели 640IR, 660IR, 670IR, 680IR, FT-IR Oi1 Analyzer)","см- ' Спектральный диапазон (основной),","Пределы допускаемой абсог ютной погрешности шкалы волновых чисел, см"" +0,25 шкалы волновых чисел, см""",2008-40223-08.pdf,
14,"Система автоматизированная информационно- измерительная коммерческого учета электроэнергии (АИИС КУЭ) электроэнергии (АИИС КУЭ) ОАО «КНАУФ ГИПС Баск нчак» ОАО нчак» Консалтинг», ОАО «КНАУФ ГИПС Баск нчак» Изготовлена 000 «ИТФ Консалтинг»,",,"Предел допускаемой относительной погрешности измерения активной электрической энергии в рабочих условиях эксплуатации АИИС КУЭ ОАО «КНАУФ ГИПС Баскунчак» энергии в рабочих условиях эксплуатации АИИС КУЭ ОАО «КНАУФ ГИПС Баскунчак» +1,9 +3,0",2008-40241-08.pdf,
15,"(в технологических Системы телемеханики и автоматики для учета и управления энергоресурсами нейшем АПСТМ-ИС) служат для непрерывного измерения и контроля технологических телемеханики АПСТМ-ИС) (давления, температуры,",,"Пределы допускаемой основной приведенной погрешности измерения давления, перепа- да давления, температуры, тока, напряжения, потенциала, расхода и др. по 1.1 равны + 0.25 °/о при использовании первичных преобразователей класса точности 0.15, + 0.4 при использова-",2009-19243-05.pdf,
16,Генераторы нулевого воздуха ГНГ-01,"Массовая концентрация примеси в нулевом воздухе (С*), не более, мг/м3",Пределы допускаемой абсолютной погрешности поддержания давления в течение 8 ч непрерывной работы t 25 кПа.,2009-26765-04.pdf,не
17,Анализаторы гематологические КХ-21М,"Диапазон измерений содержания определяемого параметра: ИВС, х103 /мкл RBC, 106 - ИВС,","Предел допускаемой случайной составляющей относительной погрешности при измерении содержания определяемого параметра (СКО), %о *) - УВС 3,5 2,0",2009-27461-09.pdf,х1
18,Комплексы программно-технические измерительные «Апогей»,,"Пределы допускаемой допускаемой основной основной приведенной приведенной погрешности, погрешности, от диапазо- °/о от диапазо- на измерений (0,4",2009-27925-09.pdf,
19,Счетчики активной электрической энергии однофазные СЕ 200 СЕ 200,"имп./кВт.ч 2,5) Гц или (60 Диапазон значений постоянной счетчика Рабочий диапазон изменения частоты изме-",,2009-31721-09.pdf,
20,"Станки балансировочные ВОХЕК модели $1200, $1500, $1800, $3300, $1250, $1550, $1850 $1550, $1850","Диапазоны измерений вели- чины	 неуравновешенной массы дисбаланса, г: -","Пределы допускаемой абсо- лютной погрешности изме- рений угла установки кор- ректирующей массы,.. .° ±3 ±3",2009-38558-09.pdf,г
21,Устройство для поверки системы RM312 по параметру планшетности,"Диапазон задания отклонений от планшетности , единицы 1","Пределы допускаемого значения приведенной погрешности задания отклонений от планшетности , °/о ± 0,1",2009-40366-09.pdf,единицы
22,Весы - компаратор НС-30КЕ,"Наибольший предел взвешивания (НПВ), кг	","Среднеквадратическое отклонение (СКО), не более, г	 0,222",2009-40421-09.pdf,кг
23,Преобразователи расхода турбинные Parity Parity,,"Пределы допускаемой относительной погрешности при измерении объема, %(при отклонении вязкости измеряе- + 0,15 измерении объема, %(при отклонении вязкости измеряе- мой среды от вязкости при поверке не более 3 сСт) Импульсный выходной сигнал",2009-40543-09.pdf,
24,Система автоматизированная информационно - измерительная коммерческого учета электроэнергии ОАО «Автокран» ОАО «Автокран»,,"Основная погрешно сть, % сть, % ±0,95 ±1,42",2009-40698-09.pdf,
25,"Термометры сопротивления платиновые ""'ТИ моделей 2G, 2сои ""'ТИ моделей 2G, 2сои","°С минус Диапазон измеряемых температур (в зависимости от модели ТС), - для 2ОоН:	 от",,2009-40767-09.pdf,
26,СЧЕТЧИКИ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИИ ТРЕХФАЗНЫЕ ЭНЕРГИИ ТРЕХФАЗНЫЕ СТАТИЧЕСКИЕ ПСЧ-4АР.05.2М ПСЧ-4АР.05.2М СТАТИЧЕСКИЕ ПСЧ-4АР.05.2М,"- при измерении реактивной энергии Постоянная счетчика, имп/кВт •ч - в основном режиме (А)",,2009-40960-09.pdf,имп
27,Счетчики газа объёмные диафрагменные диафрагменные ГАММА 66 ГАММА 66,"Максимальный расход Qмакс, мз/ч оном, з/ч","Пределы допускаемой относительной погрешности в диапазо- не расходов при температуре +20 °С, (%): мин < Q < 0,1 оном мин < Q < 0,1 оном оном < Q < омакс :1:3 + 1,5",2009-41078-09.pdf,мз
28,"Ни в ел и р ы высокоточные оптические	 моделей	 AFL 241, AFL 281, AFL 321	 (с AFL 281, AFL 321	 321	 (с функцией автофокусирования)",,"Средняя квадратическая погрешность измерения 2,0 f 1,5 0,8 превышений на 1 км двойного кода, мм",2009-41141-09.pdf,
29,"Трансформаторы тока ТВЛ-0,66","А Номинальный первичный ток,",,2009-41169-09.pdf,
30,Дозаторы весовые непрерывного действия непрерывного действия ВДН ВДН,т/ч Диапазон предельной производительности	 Пределы допускаемой погрешности,"Пределы допускаемой погрешности по ГОСТ 30124-94, от НПП .	 по ГОСТ 30124-94, °/о от НПП .	 +0,25; Максимальная скорость ленты, не более , м/с 	",2009-41175-09.pdf,
31,ГЕНЕРАТОР ШУМА 346В,"Диапазон воспроизведения ИОШТ, дБ	","Пределы допускаемой абсолютной погрешности воспроизведения уровня ИОШТ, дБ : от 0,1 до 4,0 ГГц 	 0,30;",2009-41243-09.pdf,дБ
32,Аппаратура телемеханики присоединения АТГI,"напряжение переменного тока фазное, фазное, В","Пределы допускаемой приведенной погрешности измерений величин : - напряжение переменного тока фазное, °/о - 0,2",2009-41437-09.pdf,фазное
33,рН-метр РС-310,рН	 Диапазон измерений,"Пределы допускаемой абсолютной погрешности измерений рН ± 0,05 рН",2009-41713-09.pdf,
34,Весы электронные «RUBIS С-18»,"кг	 	 Наибольший предел взвешивания весов (НПВ) Наименьший предел взвешивания (НмПВ), кг 	","Пределы допускаемой погрешности, кг t 1",2009-41775-09.pdf,кг
35,Весы вагонные ВЭВ,Интервалы взвешивания св. 50 т до 200 т вкл .,"Пределы допускаемой погрешности ненагруженных весов после применения устройст- нуль, кг	 + 0,25 е пределов допус- ва установки на нуль,",2009-41999-09.pdf,
36,"Анализаторы цифро - аналоговые серии ЕАТ, модели ЕАТ TV/S/S2/С/ТС/STC, СОЕОР. TV/S/S2/С/ТС/STC ЕАТ, ЕАТ СОЕОР. TV/S/S2/С/ТС/STC","Диапазон измерений уровня сигнала на АЕ-входе, дБмкВ","Пределы допускаемой абсолютной погрешности абсолютной сигнала, дБмкВ f 1,5 измерения уровня сигнала,",2009-42507-09.pdf,дБмкВ
37,Система автоматизированная информацион- но-измерительная коммерческого учета элек- троэнергии (АНИС КУЭ) ГУП Владимирской области «Владимирское карьероуправленне» области «Владимирское карьероуправленне»,,"допускаемых погрешностей измерения активной электрической энергии Х3,8 f5,7",2009-42645-09.pdf,
38,Анализаторы общей серы в нефтепродуктах промышленные нефтепродуктах промышленные модель С6200$ модель С6200$,"°/о	 °/о	 Диапазон показаний массовой доли серы, Диапазон измерений массовой доли серы, ","Пределы допускаемой относительной погрешности, °/о ±30 - в диапазоне массовых долей серы от 0,0005 до 0,0025 °/о	",2009-42834-09.pdf,
39,Система автоматизированная информационно-измерительная коммерческого учета электроэнергии АИИС КУЭ ПС 110/10 кВ М 549 «ПОРТ»,,"Предел допускаемой абсолютной +5 погрешности кода часов, с/сутки",2009-42977-09.pdf,
40,Система автоматизированная информационно - измерительная коммерческого учета электроэнергии (АИИС КУЭ) ФГУП «УЭ НЦЧ РАН» ФГУП «УЭ НЦЧ РАН»,,"Погрешность в рабочих усло- виях, °/о виях, f1,7",2009-42983-09.pdf,
41,Система автоматизированная информационно- измерительная коммерческого учета электрической энергии ПС 220/110/10 кВ «Снежная» - АИИС КУЭ ПС 220/110/10 кВ «Снежная»,,"эксплуатации, ИК в рабочих Погрешность условиях ± % ± 5,0% ± 2,3%",2009-43035-09.pdf,
42,Измеритель перемещений лазерный ЛИП-01 М ЛИП-01 М,"м погрешности Диапазон измерений линейных перемещений, Пределы допускаемой абсолютной погрешности","Пределы допускаемой относительной погрешности из- мерений скорости, °/о ускорения, мм/с2 Х1,0* 0,01...0,001",2009-43157-09.pdf,м
43,Весы напольные РВ РВ,"Наибольший предел взвешивания (НПВ,), кг взвешивания (НПВ,), Наименьший предел",Пределы допускаемой погрешности при первичной поверке эксплуатации первичной поверке f 1 е f 1 е f 1 е,2009-43185-09.pdf,кг
44,Генераторы газовых смесей паров этанола в воздухе Alcotest СУЗ4,"Диапазон воспроизведения массовой концентрации этанола в газовых смесях, мг/мз",Пределы допускаемой погрешности воспроизведения массовой концентрации этанола в газовых смесях абсолютной абсолютной н 4 мг/мз,2009-43257-09.pdf,мг
45,Система нефтяного	 Система измерений	 количества Система измерений	 количества нефтяного	 газа	 ДНС	 2 нефтяного	 газа	 ДНС	 нефтяного	 газа	 ДНС	 2 Среднеугутского	 месторождения Среднеугутского	 Среднеугутского	 месторождения Среднеугутского	 месторождения 000 «РН — Юганскнефтегаз» 000 000 «РН — Юганскнефтегаз»,,"Пределы допускаемой относительной погрешности измерений : погрешности измерений : - объемного расхода газа, приведенного к условиям, - объемного расхода нормальным условиям, 3,0 нормальным условиям, °/о объема газа, приведенного",2009-43422-09.pdf,
46,"ультразвуковые ULM-SSN-02, ULM-SSN-06, Уровнемеры ультразвуковые модификаций ULM-SSN-02, Уровнемеры модификаций Уровнемеры ультразвуковые модификаций ULM-SSN-02, ULM-SSN-06, ULM-55N-IO, ULM-55Xi-02, ULM-55Xi-06, модификаций ULM-55N-IO, ULM-SSN-06, ULM-55Xi-06, ULM-SЗN-10, модификаций ULM-SSN-02, ULM-55N-IO, ULM-55Xi-02, ULM-SЗN-02, ULM-SЗN-06, ULM-55N-IO, ULM-55Xi-02, ULM-55Xi-06, ULM-SЗN-02, ULM-SЗN-06, ULM-SЗN-10, ULM-SЗN-20 ULM-SЗN-06, ULM-SЗN-20",величин •mnвня допускаемой величин •mnвня допускаемой основно величин Диапазон изм-ннй Пределы допускаемой величин изм-ннй допускаемой м основно,"Диапазон Пределы приведенной Диапазон изм-ннй •mnвня м допускаемой основно приведенной погрешности измерений й измерений Пределы допускаемой основно приведенной погрешности vnnвня, % основно й измерений ::1:.0,5 приведенной vnnвня, % Пределы допускаемой  более не более",2009-43521-09.pdf,
47,"Анализаторы спектра в реальном мас- штабе времени И$АЗЗОЗВ, И8А3308В, аАЗ4О8В аАЗ4О8В",,"0,1 Гц f Ооп•F +0,001 •ПО+2) Гц, где воп - погрешность опорной час- Пределы допускаемой абсолютной погрешности маркерно- го отсчета частоты воп значение час- воп - погрешность опорной час- тоты, ПО - полоса обзора, F - значение измеренной частоты значение измеренной частоты f 2.10-7",2009-43535-09.pdf,
48,"Спектрометры атомно-абсорбционные «КВАНТ - .ЭТА» «КВАНТ - .ЭТА» (модификации «КВАНТ - Z.ЭТА (модификации «КВАНТ Z.ЭТА -1», Т») (модификации «КВАНТ - Z.ЭТА «КВАНТ - 2.ЭТА - Т») «КВАНТ «КВАНТ - 2.ЭТА - Т») Т»)","нм зависимости Спектральный диапазон, Пределы обнаружения (в зависимости","Пределы допускаемого относительного СКО случайной составляющей погрешности измерения концентрации, %: измерения концентрации, %: Мышьяк Мышьяк ± 6,0 ± 4,0 при концентрации 5 мкг/дмз	 ± 6,0 при концентрации 30 мкг/дмз	 ± 4,0 при концентрации 30 мкг/дмз	 ± 4,0 Барий при концентрации 10 мкг/дмз	 ± 5,0 при концентрации 60 мкг/дмз	 ± 3,0 Медь при концентрации 5 мкг/дмз	 ± 5,0 при концентрации 30 мкг/дмз	 ± 3,0 при концентрации 30 мкг/дмз	 ± 3,0 Ртуть при концентрации 0,1 мкг/дмз	 ± 6,0 при концентрации 0,6 мкг/дмз	 ± 4,0 при концентрации 0,6 мкг/дмз	 ± 4,0 спектрометрического блока, мм, не более 	 1 060х405х4",2010-14981-10.pdf,нм
49,Датчики весоизмерительные тензорезисторные тензорезисторные 26 26,,"Техническая характеристика Пределы допускаемой погрешности для класса точности 01 по входу при первичной (периодической) поверке или калибровке, в входу при первичной (периодической) поверке или калибровке, в единицах поверочного интервала (v= Дтах/число поверочнох ин- единицах поверочного интервала (v= Дтах/число поверочнох ин- тервалов): до 50v вкл. ±0,35	 (±0,7^) ±0,7у (±1,4^)",2010-15400-07.pdf,
50,Комплекты задатчиков давления КЗД-01,"Линейное расстояние между торцом вставки и установочной площадкой задатчиков давления с индексами «5», «20», «40», «60» равно 2,5 мм.","Предел допускаемой абсолютной погрешности линейного расстояния между торцом вставки и установочной площадкой задатчиков давления с индексами «5», «20», «40», «60» f 0,05 мм. «60» составляет f 0,05 мм. Сила,",2010-19245-00.pdf,
51,Системы медицинские диагностические иммунологические диагностические иммунологические Elecsys 2010 (Rack/Disk) Elecsys 2010 (Rack/Disk),"Диапазон	 измерений	 светового	 потока электрохемилюминесцентной ячейки , ед . ед электрохемилюминесцентной ячейки","Предел допускаемой случайной составляющей относительной	 погрешности	 при	 измерении 4 относительной	 погрешности	 при	 измерении электрохемилюминесцентного сигнала (СКО), электрохемилюминесцентного сигнала (СКО),",2010-19512-10.pdf,ед
52,Колонки топливораздаточные Нара 7000 Нара 7000,"л	 основной Минимальная доза выдачи, Пределы допускаемой основной","Пределы допускаемой основной относительной погрешности при температуре (2015) °С, ±0,25' погрешности при температуре (2015) °С, °/о	 Наибольшие допускаемые изменения действительных",2010-21250-10.pdf,л
53,Контроллеры—сборщики микропроцес- сорные КСМ4,,"Пределы допускаемой приведенной дополнительной погрешности, вызванной изменением температуры окружающей среды до верхнего вызванной изменением температуры окружающей среды до верхнего (нижнего) значения в рабочем диапазоне, (от 20 мА) ± 0,2 6 (нижнего) значения в рабочем диапазоне, °/о (от 20 мА) Число подключаемых термометров сопротивления типа",2010-26910-04.pdf,
54,"Меры напряжения и тока Е3640А, Е3641А, Е3642А, Е3643А, Е3640А, Е3644А, Е3643А, Е3647А, Е3640А, Е3641А, Е3642А, Е3643А, Е3644А, Е3645А, Е3646А, Е3647А, Е3644А, Е3644А, Е3645А, Е3646А, Е3647А, Е3648А, Е3649А Е3647А, Е3648А, Е3649А","Максимальное напряжение и сила тока на выходе : на выходе : - диапазон А 1,5 А","А 1,5 А Пределы допускаемой абсолютной погрешности измерения силы (0,0015 I + 5 мА) для канала 2 моделей погрешности измерения силы постоянного тока на выходе постоянного тока на выходе Разрешающая способность при",2010-26951-04.pdf,
55,Весы вагонные электромеханические для взвешивания в движении ТСД-ЖД «ИнфаТрэк»,"НПВ, т","Пределы допускаемой погоешности в диапазоне ± 0,5",2010-28102-10.pdf,т
56,Измерители радиопомех П4-17,"Нижний предел измерения, измерения, дБмкВ дБмкВ -2 ","t 2,0 радиопомех. Пределы допускаемой основной относительной погрешности измерения напряжения Измерители измеряют квазипиковое, пиковое и среднее значения напряжения радиопомех.",2010-29164-05.pdf,дБмкВ
57,Расходомеры ультразвуковые УЗР 2 УЗР 2,"воды, м3/с	 Диапазон измерений расхода воды, Диаметр водовода, м	","°/о	f1,5 до 700 Пределы допускаемой относительной погрешности измерений расхода воды, Пределы допускаемой относительной погрешности измерений объема воды, °/о	f1,5 Диапазон измерений расхода воды, м3/с	 от",2010-29352-05.pdf,м3
58,"Система автоматизированная информационно- Система автоматизированная информационно- измерительная коммерческого учета электроэнергии (АИИС КУЭ) тяговых электроэнергии (АИИС КУЭ) тяговых подстанций ОАО ""Российские Железные Дороги"" тяговых Дороги"" электроэнергии подстанций тяговых Дороги"" ""Пензаэнерго"" подстанций ОАО ""Российские Железные Дороги"" в границах ОАО ""Пензаэнерго"" в границах ОАО ""Пензаэнерго"" Изготовлена ОАО ""Российские Железные Дороги"" ""Пензаэнерго"" Дороги""",,"Р-0,95: Погрешность НИК в рабочих условиях эксплуатации, % гр = 1,0 соs Ф = 0,87 cos гр = 2,2",2010-31933-06.pdf,
59,"Регистраторы параметров работы тепловоза РПРТ топливом баке тепловоза, число импульсов датчика",,"Основная погрешность погрешность ±0,25 °/о",2010-32525-10.pdf,
60,"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) тяговых подстанций ОАО ""Российские Железные Дороги"" ОАО ""Российские Железные Дороги"" в границах ОАО ""Тулэнерго""",,"Доверительные границы относительной погрешности результата измерений количества учтённой активной электрической энергии погрешности результата при доверительной вероятности Р'0,95: 0,01(0,02)Iн, 5 I, < 0,05I н, 1,1 1,3 1,4 1,3 1,4 1,5",2010-33234-06.pdf,
61,"Система автоматизированная информационно-измерительная информационно-измерительная коммерческого учета электроэнергии коммерческого учета электроэнергии (АИИС КУЭ) тяговых подстанций (АИИС КУЭ) тяговых подстанций ОАО ""Российские Железные Дороги"" ОАО в Дороги"" ""Ставропольэнерго"" ОАО ""Российские Железные Дороги"" границах ОАО ""Ставропольэнерго"" ""Ставропольэнерго"" Железные в границах ОАО ""Ставропольэнерго"" Изготовлена ОАО ""Российские ""Ставропольэнерго"" Железные",,"Основная погрешность ИК, f% 1,0",2010-33517-06.pdf,
62,"Система автоматизированная информационно-измерительная информационно-измерительная коммерческого учета электроэнергии коммерческого учета электроэнергии (АИИС КУЭ) тяговых подстанций (АИИС КУЭ) тяговых подстанций ОАО ""Российские Железные Дороги"" ОАО ""Российские Железные Дороги"" в границах ОАО ""Бурятэнерго"" в границах ОАО ""Бурятэнерго""",,"Доверительные границы относительной погрешности результата измерений количества учтенной активной электрической энергии 0 , 0 5 1 Н | Ii < 0 , 2 l H i 1,8 2,5 2,9 2,2 2,8 З Д",2010-33520-06.pdf,
63,Система информационно-изме- рительная автоматизированная коммерческого учета электроэнергии ОАО «Кондровская бумажная компания»,,"Границы допускаемой относительной погрешности 0,5 инд., 0,5 емк. 5,9 3,2 5,5 3,0 3,2 2,1",2010-38504-08.pdf,
64,полигон ПРОСТРАНСТВЕННЫЙ ЭТАЛОННЫЙ ((ОМСКИЙ,"Полигона, м	 Диапазон измерений Полигона,","Абсолютная погрешность Полигона при доверительной вероятности 0,95 при измерениях приращения координат в системе ‚УО$-84, в плане, мм	 ± 5",2010-43545-10.pdf,м
65,Гири 2000 М1,"Номинальное значение массы, ю массы, ю","Пределы допускаемых отклонений от номинального значения массы, г для гирь ±200",2010-43584-10.pdf,ю
66,Дозаторы воды дискретного действия Дозаторы воды дискретного действия тензометрические ДВТ Дозаторы воды дискретного действия тензометрические ДВТ,"предел дозирования, кг Наибольший предел Наибольший предел дозирования,","отклонений действительных значений массы действительных значений массы дозы среднего значений массы дозы среднего значения, % Предел допускаемых отклонений среднего % допускаемых отклонений действительных дозы среднего значения, Предел допускаемых ±0,5 ±0,5",2010-43696-10.pdf,кг
67,Аппаратура геодезическая спутниковая одночастотная КНС ГЛОНАСС/GPS GS1{1700 CSX,,"Средняя квадратическая погрешность (СКП) измерений приращений координат в плане и по высоте в режиме «Статика», более: высоте в режиме «Статика», не более: - в плане	 высоте	 5 мм + 1 . 10-6 •D; 	 8 + 2 . 10-6 •D, - по высоте	 	 8 мм + 2 . 10-6 •D, базиса, мм.",2010-43732-10.pdf,
68,"Пробники токовые ТСРООЗО, ТСР0150","А: Верхние пределы измеряемых токов, - постоянный ток","Пределы допускаемой погрешности коэффициента передачи тока, % ± 3 коэффициента передачи тока, % (на постоянном токе) (на постоянном токе) Задержка сигнала, нс,",2010-43802-10.pdf,
69,Расходомер НЕМ ЗОЗОК,"Диапазон измерений объемного расхода, м3/ч	","Пределы допускаемой относительной погрешности, °/о	 0,50;",2010-43814-10.pdf,м3
70,Счетчики активной энергии электромеханические однофазные ЛАДОГА 1,"Базовый (максимальный) ток, А",,2010-43827-10.pdf,А
71,Термометры сопротивлении платиновые модели ЕМ24,"Диапазон измеряемых температур, °С: , °С""1","Пределы допускаемого отклонения сопротивления ТС от НСХ в температурном эквиваленте, °С-	 f(0,30 + 0,0051!])",2010-43874-10.pdf,°С
72,Весы электронные для взвешивания жидкого металла ВПК-100,"Наибольший предел взвешивания (НПВ ) ,т	 29329	","Пределы допускаемой погрешности при эксплуатации, эксплуатации, кг от 20 т до 100 т	 ± 300",2010-43886-10.pdf,
73,"Аппаратура геодезическая спутниковая спутниковая GSOS, LEICA LEICA GSOS, LEICA GS06","мм измеряемое расстояние в (20 + 2,0 10"" •D) мм",мм,2010-43999-10.pdf,
74,"Ключи моментные предельные моделей 550, 800, 1000, 1500, 550 ТН (ТН Р), 550 Р, 800 1000 Р, 1500 Р, (далее - ключи) предназначены для воспроизведения крутящего момента Р, 1000 силы 1000 Р, 1500 Р, силы с установленной","Диапазон измерений, измерений, Н•м Н•м ","Пределы допускае- допускае- мой отно- сительной погрешно- погрешно- сти, °/о ±3 ±3 ±3",2010-44028-10.pdf,Н•м
75,Весы товарные Н'%У	,"Наибольший предел взвешивания (НПВ), кг","Пределы	 допускаемой	 погрешности взвешивания при поверке и в эксплуата- ции,	 г: св. 2000е до НПВ вкл. 30 (б0)",2010-44188-10.pdf,кг
76,"Трансформаторы напряжения \ ЕЕ 72,5	","кВ напряжения, наибольшее рабочее напряжение, номинальные первичные напряжения,",,2010-44265-10.pdf,наибольшее
77,Станки балансировочные SICE S,"Диапазоны измерений вели- чины	 неуравновешенной массы дисбаланса, г:","Пределы допускаемой отно- сительной погрешности изме- рений	 величины неуравно- вешенной массы дисбаланса, -для колес легковых авто- транспортных : f3 от 0 до 100 г включительно свыше 100 г до 999 г",2010-44282-10.pdf,г
78,Система автоматизированная информационно- измерительная коммерческого учета электри- ческой энергии и мощности (АИИС КУЭ) ТРЦ «Оккервиль » ТРЦ «Оккервиль »,,"Пределы допускаемых относительных погрешностей (приписанные значения погрешностей) измерения активной и реактивной электрической энергии и мощности, °/о, погрешностей) для рабочих погрешностей) рабочих условий Х2,3",2010-44327-10.pdf,
79,ПРИБОРЫ ETALON УЕШЛАМ ETALON УЕШЛАМ ETALON УЕШЛАМ,"мм поверхности), диаметров (внутренний или наружный), радиусов (вогнутой или вьшуклой поверхности),","мм поверхности), Предел допускаемой погрешности измерений диаметров 350 350 ... 2000 мм 2000 ... 5000 мм 0,05 % 0, 1",2010-44475-10.pdf,диаметров
80,Система информационно-измерительная автоматизированная замерной установки автоматизированная замерной установки фактора нефтега- для определения газового фактора нефтега- зодобывающих скважин «ЗУОГФ»,,t 3 °/о Суммарная относи- тельная погрешность измерения уровня измерения уровня жидкости в накопите- жидкости в накопите- ле Расход попутного газа,2010-44533-10.pdf,
81,Системы контроля	Внесены уровня глюкозы в крови	 «Diacont»	,еди- ницах ммоль/дмз или мг/дл.,"Пределы допускаемой абсолютной погрешности глюкометра в диапазоне молярной концентрации глюкозы от 1,1 до 3 ммоль/л: t 0,5 ммоль/л;",2010-44540-10.pdf,
82,"Система автоматизированная информацион- но-измерительная коммерческого учета элек- трической энергии и мощности АИИС КУЭ мобильной ГТЭС, размещенной на площадке мобильной площадке мобильной ГТЭС, размещенной на площадке ПС 110 кВ «гпп-з » филиала ОАО «МРСК ПС 110 кВ «гпп-з » филиала ОАО «МРСК Сибири» - «Хакасэнерго» Сибири» - «Хакасэнерго»",,"Пределы допускаемых относительных погрешностей при измерении электрической энергии, °/о 15,92",2010-44624-10.pdf,
83,Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) 000 «Нефтехим-ЭнергоТрейд»,,"Основная погреш- ность,°/о + 2,7",2010-44694-10.pdf,
84,Счетчики электрической энергии одноф зиме статические РиМ 109.02,"Цена единицы разряда счетного механизма при измерении энергии: старшего, кВт.ч",,2010-44719-10.pdf,кВт
85,Датчик давления РВ-80N РВ-80N,"МПа	 допускаемой основной Диапазон измерений, Пределы допускаемой","±2 4...20 Пределы допускаемой основной приведенной погрешности измерений, °/о	 Выходной аналоговый сигнал, мА	",2010-44722-10.pdf,МПа
86,Анализаторы дымовых газов Testo Testo 350-MARIТIME,Объемная доля % ppm,"Предел допускаемой погрешности измерения ,% ppm) (в поддиапазонах ,% или ppm) ±0,2 ±20 (0 ... 400)",2010-44745-10.pdf,
